city,revenue,acres,parcels,road_mi,net_land,net_road,median_home_value,verdict
Rollingwood,34750577.526,310.28178175118416,591,10.408861010502442,81215.58818070048,90964.65040255927,2194609.0,contributor under both
Barton Creek,56534224.068,1286.9659483455675,1038,23.482159984435874,13147.05143297396,32488.76150043411,2083484.0,contributor under both
West Lake Hills,70056035.63700001,1567.4957110431537,1438,35.04974686698885,13911.721132260835,30674.002150341625,1744192.0,contributor under both
Santa Rita Ranch,34053269.103,923.541868214235,4046,12.560772892329359,6091.222356354919,28345.450275936688,434624.5,contributor under both
The Hills,18555326.874,313.0782002380693,971,15.503618647100295,28486.1402043838,28220.525759934757,884577.5,contributor under both
Austin,4072930596.504,64906.406993354176,219787,3589.412547003201,31969.578295271644,28079.274877062926,495002.5,contributor under both
Belterra,29802005.331,523.1113432828205,1964,24.19352888966213,26189.426239019274,27974.376396387157,698210.0,contributor under both
Steiner Ranch,74777247.573,1327.6934745043366,4153,62.06483222944041,25539.92140126721,27013.233378749683,759943.0,contributor under both
Elgin,8299038.132,338.37486754625314,1768,4.7272153387035685,-6255.0809742577185,15767.36324983455,272239.0,flips to contributor
Cedar Park,300744137.19,7124.547790319823,24386,318.1022757735691,11431.135744801084,14219.544974054013,488133.0,contributor under both
Lakeway,146537032.08900002,3758.28513952329,7965,151.66143927598714,8209.15079746854,13690.259117607226,740330.0,contributor under both
Sonterra,23874128.943,723.2347053256847,3800,22.639881754469982,2228.9623699320214,13384.184169749804,266692.0,contributor under both
Leander,320746051.62600005,10184.850364412374,29505,325.37946668824065,711.2189279124347,11462.835032397234,440278.0,contributor under both
Brushy Creek,78582584.073,2539.539884651281,7136,80.7688353307604,162.3837383974848,11003.580945696192,501746.0,contributor under both
Hutto,105082130.832,3183.6203743241404,14693,116.03030818294518,2225.870348115074,10157.042555579696,331416.0,contributor under both
Bee Cave,45151829.016,1525.919553475989,2034,48.293858584167566,-1191.3324259919716,9747.353584665896,834757.5,flips to contributor
Point Venture,9570253.581,340.35695926755193,1119,11.051062651232796,-2662.9630364326804,7761.608079386708,433659.0,flips to contributor
Shady Hollow,25622988.237,988.0487136298102,1799,30.058197310854318,-4848.326866810193,6859.787448623796,631477.0,flips to contributor
Liberty Hill,23372408.661000002,1033.9914329587853,2886,26.434842245774167,-8177.18272651688,6575.403440873609,337343.0,flips to contributor
Round Rock,385782129.74700004,10056.190770637584,37931,513.0445311359854,7581.40342934236,6376.718119239557,385580.5,contributor under both
Pflugerville,180079891.59300002,5438.014944886994,21064,274.0620294209013,2333.7580515764635,1517.9994341514853,368293.5,contributor under both
Woodcreek,8015180.544000001,273.4129707533373,837,12.600784856098965,-1465.9567962984024,420.7400278631002,442550.0,flips to contributor
Manor,44949557.352000006,1582.9709774253715,7446,70.9339586136497,-2385.554205032855,301.3614743235404,294358.0,flips to contributor
Briarcliff,12287293.599000001,610.2757756555375,1295,20.142501759082172,-10647.245002209012,-559.0588475628025,443293.5,net drain under both
Dripping Springs,36645325.458000004,1574.799652474186,2863,62.02745363610099,-7511.413516370789,-1424.431148966372,521270.0,net drain under both
Jonestown,25733754.648000002,2056.546640553235,2411,49.70743073185575,-18268.15615412215,-2640.6623445999194,242065.0,net drain under both
Georgetown,321670154.58900005,9941.478255708262,35602,574.2676179848019,1575.1237264208269,-3859.65712276466,375382.5,flips to net drain
Hudson Bend,24467714.859,1559.0031494362295,1412,49.85502216917755,-15086.78538794933,-4354.845906073031,508637.0,net drain under both
Serenada,7329906.465000001,762.2195917754,642,19.24783894474133,-21164.718307917337,-6215.600509264972,481900.5,net drain under both
Manchaca,9825879.273,602.4324521695968,1003,23.125631798301033,-14470.904946307846,-7756.699256556084,455995.5,net drain under both
Wells Branch,26555585.049000002,702.8192359015609,2506,51.134819371309455,7003.127406625624,-7830.926171022015,392771.0,flips to net drain
Lago Vista,58468118.877000004,4669.59871166305,12559,154.13577289333134,-18260.23113656269,-8173.7891992538525,67920.0,net drain under both
Buda,41261782.044,1152.0849093704983,4728,83.3788822811745,5033.632505071221,-9559.326156299014,404190.0,flips to net drain
Mustang Ridge,2635445.421,369.47620379876076,543,9.908729890122578,-23648.32356209441,-9680.996439602917,240087.0,net drain under both
Wimberley,19931983.365000002,1963.3817512554722,1287,64.86743607858054,-20629.383444701987,-10561.920211850716,492750.0,net drain under both
Hornsby Bend,25303126.716000002,866.947610902768,4159,55.485496165510185,-1594.7926840348257,-10939.37987806535,293807.0,net drain under both
Florence,3031631.8830000004,271.9610444075229,518,9.838987976911186,-19633.944898380276,-11534.68949250294,169818.5,net drain under both
Kyle,106312840.914,3056.110408239416,15716,237.27724307743824,4005.7296302658087,-13890.101529987967,315045.0,flips to net drain
Unincorporated,1847763331.512,125839.86641327538,173147,6158.508444028005,-16097.797293885367,-15999.333219716762,397684.0,net drain under both
Jarrell,12016225.263,759.978509081925,1797,42.06369222154152,-14969.977038996512,-18889.853414310084,292447.0,net drain under both
Garfield,2487560.565,802.0601134997191,560,29.523397661382216,-27679.78286058846,-19976.466960356305,77615.0,net drain under both
Uhland,6390849.696,346.22338549864304,1008,23.874134160892385,-12322.500383864446,-24773.587685533097,291060.0,net drain under both
Bartlett,1803467.736,258.10726385786387,647,14.916127387067506,-23793.966805146112,-29244.8035338811,99756.0,net drain under both
Taylor,47103284.382,2723.1594622491043,7639,211.91020377163923,-13483.954856692775,-31491.071237036926,265225.0,net drain under both
San Marcos,106282365.75600001,3820.876889983981,13727,365.9881446851284,-2965.0232999157906,-32237.705385464127,327470.0,net drain under both
Granger,2777784.009,230.02429262644966,742,19.707343561109713,-18705.200552167087,-41638.49071921433,141127.0,net drain under both
