county,tract_code,population,total_units,"1-unit, detached","1-unit, attached",total_units_age,Built 2010-2019,Built 2020 or later,Built 1939 or earlier,single_family_units,multifamily_units,pct_single_family,pct_built_2010_plus,pct_built_pre1970,median_income,land_area_m2,population_density,urban_class
209,010100,2825,1339,471,47,1339,50,92,379,518,821,38.68558625840179,10.604929051530993,28.30470500373413,41521,1600177,4572.462921289332,INNER_SUBURBAN
209,010200,5988,915,217,56,915,217,11,75,273,642,29.836065573770494,24.91803278688525,8.19672131147541,33409,1717562,9029.612904803436,INNER_SUBURBAN
209,010302,5121,1939,638,42,1939,463,13,27,680,1259,35.06962351727695,24.548736462093864,1.3924703455389376,45036,7634331,1737.334941332777,OUTER_SUBURBAN
209,010305,5420,2854,401,56,2854,523,45,0,457,2397,16.012613875262787,19.901892081289418,0.0,47164,5626207,2495.0735015615314,OUTER_SUBURBAN
209,010306,4612,1516,123,0,1516,825,52,0,123,1393,8.113456464379947,57.849604221635886,0.0,50800,15200391,785.8403116077737,OUTER_SUBURBAN
209,010307,2421,1431,280,0,1431,281,0,53,280,1151,19.566736547868622,19.636617749825298,3.7037037037037033,27114,1400277,4477.964002836581,INNER_SUBURBAN
209,010308,1829,865,67,0,865,9,0,9,67,798,7.745664739884393,1.0404624277456647,1.0404624277456647,-666666666,486459,9737.94297155567,INNER_SUBURBAN
209,010309,4331,1940,125,58,1940,724,0,0,183,1757,9.43298969072165,37.31958762886598,0.0,49030,6797456,1650.21884658025,OUTER_SUBURBAN
209,010401,5213,2514,1348,18,2514,280,0,0,1366,1148,54.335719968178196,11.137629276054097,0.0,47179,6544092,2063.1846251550255,OUTER_SUBURBAN
209,010402,8183,3337,1441,28,3337,1343,78,0,1469,1868,44.02157626610728,42.58315852562182,0.0,67990,54720526,387.3129801420403,OUTER_SUBURBAN
209,010500,5349,2767,801,35,2767,603,73,81,836,1931,30.213227322009395,24.43079147090712,2.927358149620528,53205,12766272,1085.1962107653667,OUTER_SUBURBAN
209,010601,3952,1617,808,240,1617,177,50,75,1048,569,64.81137909709338,14.038342609771181,4.638218923933209,33074,2472645,4139.567143686215,INNER_SUBURBAN
209,010602,4961,2613,1885,0,2613,408,59,0,1885,728,72.13930348258707,17.87217757367011,0.0,80217,37929632,338.7586254461947,OUTER_SUBURBAN
209,010603,3559,1496,1370,0,1496,290,74,0,1370,126,91.57754010695187,24.331550802139038,0.0,94688,62725443,146.95488081287843,OUTER_SUBURBAN
209,010702,2821,1299,594,11,1299,111,30,12,605,694,46.574287913779834,10.854503464203233,0.9237875288683602,50038,67428965,108.35684634933965,OUTER_SUBURBAN
209,010703,5547,2906,794,164,2906,419,17,59,958,1948,32.966276668960774,15.003441156228492,2.0302821748107363,40357,5347712,2686.5190197228276,OUTER_SUBURBAN
209,010704,2174,1018,294,0,1018,98,0,0,294,724,28.880157170923383,9.62671905697446,0.0,37219,54110383,104.05877186269407,OUTER_SUBURBAN
209,010806,5430,1941,1773,9,1941,472,0,0,1782,159,91.80834621329211,24.31736218444101,0.0,126321,72835298,193.08907063165992,OUTER_SUBURBAN
209,010807,3493,1404,1210,33,1404,551,183,20,1243,161,88.53276353276354,52.27920227920227,1.4245014245014245,142351,192197142,47.07078318573541,OUTER_SUBURBAN
209,010809,7948,2999,2472,60,2999,1277,87,0,2532,467,84.42814271423808,45.48182727575858,0.0,133945,55689724,369.64306018108476,OUTER_SUBURBAN
209,010810,2506,1354,979,0,1354,453,2,0,979,375,72.30428360413589,33.604135893648454,0.0,93688,66682673,97.3347304179003,OUTER_SUBURBAN
209,010811,3350,1185,936,0,1185,324,0,0,936,249,78.9873417721519,27.341772151898734,0.0,67875,160183585,54.16597462218117,OUTER_SUBURBAN
209,010812,5059,2492,2450,42,2492,617,17,85,2492,0,100.0,25.441412520064205,3.410914927768861,143274,146230088,89.6040628793166,OUTER_SUBURBAN
209,010813,2514,1070,863,97,1070,282,18,0,960,110,89.7196261682243,28.037383177570092,0.0,82177,12964817,502.22536885788674,OUTER_SUBURBAN
209,010814,2957,1618,1227,27,1618,367,7,0,1254,364,77.50309023485785,23.11495673671199,0.0,68077,8074408,948.5066892829791,OUTER_SUBURBAN
209,010815,2127,782,750,0,782,105,0,2,750,32,95.9079283887468,13.427109974424553,0.2557544757033248,140238,11964955,460.422124445934,OUTER_SUBURBAN
209,010816,12293,3346,3000,0,3346,1415,246,0,3000,346,89.65929468021518,49.64136282127914,0.0,195412,20898007,1523.5361917526393,OUTER_SUBURBAN
209,010817,3913,1497,893,116,1497,405,0,0,1009,488,67.40146960587843,27.054108216432866,0.0,107417,97264666,104.19683135497529,OUTER_SUBURBAN
209,010818,1711,795,635,19,795,150,43,80,654,141,82.26415094339623,24.27672955974843,10.062893081761008,114423,85464395,51.85188522074017,OUTER_SUBURBAN
209,010905,10369,3962,3487,0,3962,2021,106,25,3487,475,88.01110550227158,53.68500757193336,0.6309944472488642,102652,79672615,337.07579448722754,OUTER_SUBURBAN
209,010909,9848,3986,2417,155,3986,1919,73,0,2572,1414,64.52584044154541,49.97491219267436,0.0,75724,4892808,5213.022869485171,INNER_SUBURBAN
209,010911,3000,1147,1072,0,1147,22,110,0,1072,75,93.4612031386225,11.508282476024412,0.0,105417,8629617,900.387583829039,OUTER_SUBURBAN
209,010912,8273,2701,2636,27,2701,1045,11,0,2663,38,98.59311366160681,39.096630877452796,0.0,154560,74835727,286.3213983342475,OUTER_SUBURBAN
209,010913,6403,2829,1374,24,2829,1214,24,0,1398,1431,49.41675503711559,43.76104630611523,0.0,74398,28446626,582.9784523479163,OUTER_SUBURBAN
209,010914,2958,1124,1124,0,1124,31,23,0,1124,0,100.0,4.804270462633451,0.0,159280,102282845,74.9022966656823,OUTER_SUBURBAN
209,010915,8351,2881,2782,0,2881,1667,55,0,2782,99,96.5636931620965,59.7709128774731,0.0,123463,10711875,2019.1693797771165,OUTER_SUBURBAN
209,010916,8003,2622,2315,8,2622,932,201,80,2323,299,88.59649122807018,43.21128909229596,3.051106025934401,88675,32996722,628.1766413039453,OUTER_SUBURBAN
209,010917,5577,1758,1493,0,1758,789,47,0,1493,265,84.92605233219568,47.55403868031854,0.0,89716,21920548,658.944749009012,OUTER_SUBURBAN
209,010918,5390,1810,1470,160,1810,910,0,0,1630,180,90.05524861878453,50.27624309392266,0.0,98080,5306141,2630.9327249313574,OUTER_SUBURBAN
209,010919,9452,3002,1710,59,3002,443,150,20,1769,1233,58.92738174550299,19.753497668221186,0.6662225183211192,65453,10334031,2368.9381229841483,OUTER_SUBURBAN
209,010920,2807,906,295,0,906,189,162,14,295,611,32.560706401766005,38.741721854304636,1.545253863134658,76250,23445228,310.08996798836847,OUTER_SUBURBAN
209,010921,5234,1456,441,0,1456,478,0,25,441,1015,30.288461538461537,32.82967032967033,1.7170329670329672,55000,25466016,532.3196215693888,OUTER_SUBURBAN
209,010922,11793,3949,3636,100,3949,2237,254,38,3736,213,94.60622942517092,63.07926057229678,0.9622689288427451,101122,14036757,2175.991933179437,OUTER_SUBURBAN
209,010923,9787,3765,2729,27,3765,2385,168,0,2756,1009,73.20053120849933,67.80876494023904,0.0,109083,24994919,1014.1393136741111,OUTER_SUBURBAN
209,010924,4853,1731,1568,0,1731,263,0,35,1568,163,90.5834777585211,15.193529751588677,2.021952628538417,94281,2410022,5215.417120673587,INNER_SUBURBAN
209,010925,5646,2510,1491,0,2510,937,19,25,1491,1019,59.40239043824701,38.08764940239044,0.9960159362549801,67914,7697836,1899.6429645942055,OUTER_SUBURBAN
453,000101,4494,2475,1424,175,2475,295,70,70,1599,876,64.60606060606061,14.747474747474747,2.8282828282828283,131713,3049819,3816.4428774297753,INNER_SUBURBAN
