incident_number,calendaryear,month,incdate,call_type,problem,responsearea,jurisdiction,prioritydescription,council_district,location,longitude,latitude,is_structure_fire,is_vehicle_fire,is_outdoor_fire,is_trash_fire,incident_category
22000002,2022,Jan,01/01/2022 12:00:00 AM,Fire,GRASS - Small Grass Fire,00-2403,AFD,3F,2,"(-97.769871,30.178386)",-97.769871,30.178386,False,False,True,False,Outdoor/Vegetation Fire
22000011,2022,Jan,01/01/2022 12:00:00 AM,Fire,TRASH - Trash Fire,00-3004,AFD,3F,1,"(-97.671294,30.394254)",-97.671294,30.394254,False,False,False,True,Trash/Dumpster Fire
22000019,2022,Jan,01/01/2022 12:00:00 AM,Fire,TRASH - Trash Fire,00-0603,AFD,3F,9,"(-97.756675,30.241250)",-97.756675,30.24125,False,False,False,True,Trash/Dumpster Fire
22000028,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-3404,AFD,3F,6,"(-97.794793,30.480280)",-97.794793,30.48028,False,False,False,True,Trash/Dumpster Fire
22000029,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-5101,AFD,3F,8,"(-97.838458,30.233931)",-97.838458,30.233931,False,False,False,True,Trash/Dumpster Fire
22000037,2022,Jan,01/01/2022 12:00:00 AM,Fire,BOX -Structure Fire,00-2306,AFD,1F,4,"(-97.692635,30.364969)",-97.692635,30.364969,True,False,False,False,Structure Fire
22000038,2022,Jan,01/01/2022 12:00:00 AM,Fire,TRASH - Trash Fire,00-0805,AFD,3F,7,"(-97.734222,30.364264)",-97.734222,30.364264,False,False,False,True,Trash/Dumpster Fire
22000043,2022,Jan,01/01/2022 12:00:00 AM,Fire,GRASS - Small Grass Fire,00-2205,AFD,3F,3,"(-97.693728,30.234032)",-97.693728,30.234032,False,False,True,False,Outdoor/Vegetation Fire
22000045,2022,Jan,01/01/2022 12:00:00 AM,Fire,TRASH - Trash Fire,00-0101,AFD,3F,9,"(-97.735784,30.266092)",-97.735784,30.266092,False,False,False,True,Trash/Dumpster Fire
22000046,2022,Jan,01/01/2022 12:00:00 AM,Fire,GRASS - Small Grass Fire,00-2401,AFD,3F,2,"(-97.743058,30.192664)",-97.743058,30.192664,False,False,True,False,Outdoor/Vegetation Fire
22000048,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-2401,AFD,3F,2,"(-97.731155,30.191283)",-97.731155,30.191283,False,False,False,True,Trash/Dumpster Fire
22000049,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-2305,AFD,3F,4,"(-97.696442,30.349147)",-97.696442,30.349147,False,False,False,True,Trash/Dumpster Fire
22000052,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-0502,AFD,3F,-,"(-97.692255,30.270703)",-97.692255,30.270703,False,False,False,True,Trash/Dumpster Fire
22000054,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-2204,AFD,3F,3,"(-97.706986,30.228537)",-97.706986,30.228537,False,False,False,True,Trash/Dumpster Fire
22000058,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-0803,AFD,3F,4,"(-97.711809,30.363006)",-97.711809,30.363006,False,False,False,True,Trash/Dumpster Fire
22000064,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-0301,AFD,3F,9,"(-97.747674,30.289443)",-97.747674,30.289443,False,False,False,True,Trash/Dumpster Fire
22000066,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-1504,AFD,3F,1,"(-97.706445,30.269932)",-97.706445,30.269932,False,False,False,True,Trash/Dumpster Fire
22000067,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-2204,AFD,3F,3,"(-97.717471,30.231659)",-97.717471,30.231659,False,False,False,True,Trash/Dumpster Fire
22000075,2022,Jan,01/01/2022 12:00:00 AM,Fire,TRASH - Trash Fire,00-2403,AFD,3F,2,"(-97.758373,30.178084)",-97.758373,30.178084,False,False,False,True,Trash/Dumpster Fire
22000079,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-1804,AFD,3F,4,"(-97.694680,30.326797)",-97.69468,30.326797,False,False,False,True,Trash/Dumpster Fire
22000081,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-2204,AFD,3F,3,"(-97.714684,30.235180)",-97.714684,30.23518,False,False,False,True,Trash/Dumpster Fire
22000082,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-2601,AFD,3F,1,"(-97.626021,30.294255)",-97.626021,30.294255,False,False,False,True,Trash/Dumpster Fire
22000085,2022,Jan,01/01/2022 12:00:00 AM,Fire,BOXS - Still Box Alarm,00-1407,AFD,1F,4,"(-97.714795,30.316076)",-97.714795,30.316076,True,False,False,False,Structure Fire
22000086,2022,Jan,01/01/2022 12:00:00 AM,Fire,TRASH - Trash Fire,00-0802,AFD,3F,4,"(-97.699648,30.358309)",-97.699648,30.358309,False,False,False,True,Trash/Dumpster Fire
22000087,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-3404,AFD,3F,6,"(-97.785281,30.475378)",-97.785281,30.475378,False,False,False,True,Trash/Dumpster Fire
22000093,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-2601,AFD,3F,1,"(-97.626021,30.294255)",-97.626021,30.294255,False,False,False,True,Trash/Dumpster Fire
22000104,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-1802,AFD,3F,1,"(-97.669611,30.307529)",-97.669611,30.307529,False,False,False,True,Trash/Dumpster Fire
22000113,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-4503,AFD,3F,6,"(-97.767419,30.481542)",-97.767419,30.481542,False,False,False,True,Trash/Dumpster Fire
22000122,2022,Jan,01/01/2022 12:00:00 AM,Fire,BOXL- Structure Fire,00-4104,AFD,1F,1,"(-97.612957,30.372331)",-97.612957,30.372331,True,False,False,False,Structure Fire
22000128,2022,Jan,01/01/2022 12:00:00 AM,Fire,AUTO - Auto Fire,00-0806,AFD,2F,7,"(-97.724638,30.380935)",-97.724638,30.380935,False,True,False,False,Vehicle Fire
22000135,2022,Jan,01/01/2022 12:00:00 AM,Fire,GRASS - Small Grass Fire,00-2403,AFD,3F,2,"(-97.767193,30.183923)",-97.767193,30.183923,False,False,True,False,Outdoor/Vegetation Fire
22000157,2022,Jan,01/01/2022 12:00:00 AM,Fire,GRASS - Small Grass Fire,00-2005,AFD,3F,2,"(-97.782886,30.205695)",-97.782886,30.205695,False,False,True,False,Outdoor/Vegetation Fire
22000171,2022,Jan,01/01/2022 12:00:00 AM,Fire,TRASH - Trash Fire,00-3504,AFD,3F,2,"(-97.697556,30.199999)",-97.697556,30.199999,False,False,False,True,Trash/Dumpster Fire
22000214,2022,Jan,01/01/2022 12:00:00 AM,Fire,TRASH - Trash Fire,04-2609,AFD,3F,-,"(-97.607385,30.264050)",-97.607385,30.26405,False,False,False,True,Trash/Dumpster Fire
22000238,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-3402,AFD,3F,6,"(-97.805752,30.457648)",-97.805752,30.457648,False,False,False,True,Trash/Dumpster Fire
22000252,2022,Jan,01/01/2022 12:00:00 AM,Fire,BOX -Structure Fire,00-1709,AFD,1F,3,"(-97.765376,30.213776)",-97.765376,30.213776,True,False,False,False,Structure Fire
22000287,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-2303,AFD,3F,1,"(-97.677578,30.328919)",-97.677578,30.328919,False,False,False,True,Trash/Dumpster Fire
22000295,2022,Jan,01/01/2022 12:00:00 AM,Fire,TRASH - Trash Fire,04-4801,AFD,3F,-,"(-97.586001,30.248653)",-97.586001,30.248653,False,False,False,True,Trash/Dumpster Fire
22000317,2022,Jan,01/01/2022 12:00:00 AM,Fire,AUTO - Auto Fire,00-2706,AFD,2F,8,"(-97.874047,30.231757)",-97.874047,30.231757,False,True,False,False,Vehicle Fire
22000361,2022,Jan,01/01/2022 12:00:00 AM,Fire,TRASH - Trash Fire,00-2304,AFD,3F,4,"(-97.692307,30.337526)",-97.692307,30.337526,False,False,False,True,Trash/Dumpster Fire
22000363,2022,Jan,01/01/2022 12:00:00 AM,Fire,TRASH - Trash Fire,00-0804,AFD,3F,7,"(-97.722948,30.366238)",-97.722948,30.366238,False,False,False,True,Trash/Dumpster Fire
22000373,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-1803,AFD,3F,4,"(-97.702144,30.315269)",-97.702144,30.315269,False,False,False,True,Trash/Dumpster Fire
22000385,2022,Jan,01/01/2022 12:00:00 AM,Fire,TRASH - Trash Fire,00-2404,AFD,3F,2,"(-97.742367,30.166309)",-97.742367,30.166309,False,False,False,True,Trash/Dumpster Fire
22000410,2022,Jan,01/01/2022 12:00:00 AM,Fire,GRASS - Small Grass Fire,00-1903,AFD,3F,10,"(-97.766975,30.341843)",-97.766975,30.341843,False,False,True,False,Outdoor/Vegetation Fire
22000413,2022,Jan,01/01/2022 12:00:00 AM,Fire,TRASH - Trash Fire,00-2705,AFD,3F,8,"(-97.870620,30.223075)",-97.87062,30.223075,False,False,False,True,Trash/Dumpster Fire
22000417,2022,Jan,01/01/2022 12:00:00 AM,Fire,BBQ - Unsafe Cooking,00-2201,AFD,4F,3,"(-97.707755,30.222162)",-97.707755,30.222162,False,False,False,False,Other
22000419,2022,Jan,01/01/2022 12:00:00 AM,Fire,TRASH - Trash Fire,00-2305,AFD,3F,4,"(-97.701621,30.350047)",-97.701621,30.350047,False,False,False,True,Trash/Dumpster Fire
22000440,2022,Jan,01/01/2022 12:00:00 AM,Fire,BOX -Structure Fire,00-2306,AFD,1F,4,"(-97.691949,30.359055)",-97.691949,30.359055,True,False,False,False,Structure Fire
22000454,2022,Jan,01/01/2022 12:00:00 AM,Fire,TRASH - Trash Fire,00-0702,AFD,3F,3,"(-97.709495,30.260127)",-97.709495,30.260127,False,False,False,True,Trash/Dumpster Fire
22000499,2022,Jan,01/01/2022 12:00:00 AM,Fire,TRASH - Trash Fire,00-0702,AFD,3F,3,"(-97.709495,30.260127)",-97.709495,30.260127,False,False,False,True,Trash/Dumpster Fire
22000534,2022,Jan,01/01/2022 12:00:00 AM,Fire,AUTO - Auto Fire,00-1708,AFD,2F,3,"(-97.764171,30.222480)",-97.764171,30.22248,False,True,False,False,Vehicle Fire
22000554,2022,Jan,01/01/2022 12:00:00 AM,Fire,ELEC - Electrical Fire,00-3503,AFD,3F,3,"(-97.724356,30.225596)",-97.724356,30.225596,False,False,False,False,Other
22000575,2022,Jan,01/01/2022 12:00:00 AM,Fire,AUTO - Auto Fire,00-3604,AFD,2F,5,"(-97.788224,30.164157)",-97.788224,30.164157,False,True,False,False,Vehicle Fire
22000581,2022,Jan,01/01/2022 12:00:00 AM,Fire,BOXL- Structure Fire,00-4001,AFD,1F,7,"(-97.670770,30.406651)",-97.67077,30.406651,True,False,False,False,Structure Fire
22000582,2022,Jan,01/01/2022 12:00:00 AM,Fire,GRASS - Small Grass Fire,00-4001,AFD,3F,7,"(-97.673525,30.409127)",-97.673525,30.409127,False,False,True,False,Outdoor/Vegetation Fire
22000598,2022,Jan,01/01/2022 12:00:00 AM,Fire,DUMP - Dumpster Fire,00-1104,AFD,3F,5,"(-97.762399,30.265244)",-97.762399,30.265244,False,False,False,True,Trash/Dumpster Fire
22000603,2022,Jan,01/01/2022 12:00:00 AM,Fire,GRASS - Small Grass Fire,00-1406,AFD,3F,9,"(-97.712880,30.308994)",-97.71288,30.308994,False,False,True,False,Outdoor/Vegetation Fire
22000620,2022,Jan,01/02/2022 12:00:00 AM,Fire,ELEC - Electrical Fire,00-3801,AFD,3F,6,"(-97.787813,30.443227)",-97.787813,30.443227,False,False,False,False,Other
22000647,2022,Jan,01/02/2022 12:00:00 AM,Fire,TRASH - Trash Fire,00-0701,AFD,3F,1,"(-97.719038,30.269258)",-97.719038,30.269258,False,False,False,True,Trash/Dumpster Fire
22000651,2022,Jan,01/02/2022 12:00:00 AM,Fire,ELEC - Electrical Fire,00-3802,AFD,3F,6,"(-97.820942,30.452116)",-97.820942,30.452116,False,False,False,False,Other
