incident_number,calendaryear,month,incdate,call_type,problem,responsearea,prioritydescription,council_district,location,longitude,latitude,census_tracts,tract_codes
22000037,2022,Jan,01/01/2022 12:00:00 AM,Fire,BOX -Structure Fire,00-2306,1F,4,"(-97.692635,30.364969)",-97.692635,30.364969,['410'],['041000']
22000085,2022,Jan,01/01/2022 12:00:00 AM,Fire,BOXS - Still Box Alarm,00-1407,1F,4,"(-97.714795,30.316076)",-97.714795,30.316076,['15.03'],['001503']
22000122,2022,Jan,01/01/2022 12:00:00 AM,Fire,BOXL- Structure Fire,00-4104,1F,1,"(-97.612957,30.372331)",-97.612957,30.372331,['449'],['044900']
22000252,2022,Jan,01/01/2022 12:00:00 AM,Fire,BOX -Structure Fire,00-1709,1F,3,"(-97.765376,30.213776)",-97.765376,30.213776,['24.03'],['002403']
22000440,2022,Jan,01/01/2022 12:00:00 AM,Fire,BOX -Structure Fire,00-2306,1F,4,"(-97.691949,30.359055)",-97.691949,30.359055,['431'],['043100']
22000581,2022,Jan,01/01/2022 12:00:00 AM,Fire,BOXL- Structure Fire,00-4001,1F,7,"(-97.670770,30.406651)",-97.67077,30.406651,['439'],['043900']
22000653,2022,Jan,01/02/2022 12:00:00 AM,Fire,BOX -Structure Fire,00-2305,1F,4,"(-97.696442,30.349147)",-97.696442,30.349147,['432'],['043200']
22000699,2022,Jan,01/02/2022 12:00:00 AM,Fire,BOX -Structure Fire,00-3102,1F,10,"(-97.798841,30.384608)",-97.798841,30.384608,['305'],['030500']
22000799,2022,Jan,01/02/2022 12:00:00 AM,Fire,BOX -Structure Fire,00-0201,1F,9,"(-97.751851,30.285251)",-97.751851,30.285251,['6.07'],['000607']
22000844,2022,Jan,01/02/2022 12:00:00 AM,Fire,BOXS - Still Box Alarm,00-4001,1F,7,"(-97.651433,30.389071)",-97.651433,30.389071,['439'],['043900']
22000892,2022,Jan,01/02/2022 12:00:00 AM,Fire,BOXS - Still Box Alarm,00-4001,1F,7,"(-97.642155,30.406236)",-97.642155,30.406236,['439'],['043900']
