incident_number,calendaryear,month,incdate,call_type,problem,responsearea,jurisdiction,prioritydescription,council_district,location,longitude,latitude,is_nonconfined_structure_fire,is_confined_structure_fire,is_structure_fire,is_vehicle_fire,is_outdoor_fire,is_trash_fire,incident_category,PARCEL_ID,PROP_ID,LAND_USE,GENERAL_LAND_USE,PROPERTY_ADDRESS,IMPRV_TYPE,BLDG_SQUARE_FOOTAGE,YEAR_BUILT,UNITS,ZONING_ZTYPE,ZONING_BASE,COUNCIL_DISTRICT,MARKET_VALUE,APPRAISED_VAL,LAND_ACRES,FAR,zoning_label,zoning_category,census_tract_geoid,census_county_fips,census_tract_name,census_tract_land_area_sqm,census_population,housing_total_units,housing_1_detached,housing_1_attached,housing_2_units,housing_3_4_units,housing_5_9_units,housing_10_19_units,housing_20_49_units,housing_50plus_units,housing_mobile_home,housing_boat_rv_van,yrbuilt_total,yrbuilt_2020_later,yrbuilt_2010_2019,yrbuilt_2000_2009,yrbuilt_1990_1999,yrbuilt_1980_1989,yrbuilt_1970_1979,yrbuilt_1960_1969,yrbuilt_1950_1959,yrbuilt_1940_1949,yrbuilt_1939_earlier,IMPRV_CLEAN
22009930,2022,Jan,01/20/2022 12:00:00 AM,Fire,BOXS - Still Box Alarm,00-1401,AFD,1F,9,"(-97.698518,30.298207)",-97.698518,30.298207,True,False,True,False,False,False,Structure Fire (non-confined),0217163424,858287.0,100.0,100.0,"4625 HERZOG ST, AUSTIN, TX 78723",TOWNHOMES                ,1317.0,2017.0,1.0,PUD,PUD,9.0,222629.0,222629.0,0.0337,0.8959293,Planned Unit Development,Mixed/Planned,48453000308.0,453.0,3.08,1466970.0,2258.0,1090.0,253.0,300.0,0.0,31.0,19.0,0.0,73.0,414.0,0.0,0.0,1090.0,48.0,873.0,24.0,0.0,18.0,61.0,31.0,0.0,35.0,0.0,TOWNHOMES
22046782,2022,Apr,04/07/2022 12:00:00 AM,Fire,BOX -Structure Fire,00-1705,AFD,1F,5,"(-97.782955,30.234424)",-97.782955,30.234424,True,False,True,False,False,False,Structure Fire (non-confined),0406100168,484374.0,220.0,200.0,3801 1 MENCHACA RD 78704,TOWNHOMES,,1982.0,62.0,GO,GO,5.0,463218.0,463218.0,0.0824,0.005195516,General Office,Office,48453002007.0,453.0,20.07,874062.0,2504.0,1440.0,313.0,340.0,15.0,106.0,127.0,49.0,114.0,376.0,0.0,0.0,1440.0,0.0,446.0,140.0,95.0,272.0,128.0,299.0,24.0,0.0,36.0,TOWNHOMES
22048615,2022,Apr,04/10/2022 12:00:00 AM,Fire,GRASS - Small Grass Fire,00-2101,AFD,3F,10,"(-97.752221,30.354919)",-97.752221,30.354919,False,False,False,False,True,False,Outdoor/Vegetation Fire,0139020655,136270.0,220.0,200.0,7122 25 WOOD HOLLOW DR 78731,TOWNHOMES,,,117.0,MF-3,MF,10.0,406643.0,406643.0,0.0563,0.004490886,Multifamily Residential,Residential,48453032300.0,453.0,323.0,936353.0,4160.0,2929.0,79.0,58.0,0.0,138.0,765.0,523.0,344.0,1022.0,0.0,0.0,2929.0,0.0,30.0,89.0,176.0,254.0,2013.0,122.0,181.0,0.0,64.0,TOWNHOMES
22057731,2022,Apr,04/30/2022 12:00:00 AM,Fire,ELEC - Electrical Fire,00-2903,AFD,3F,5,"(-97.839139,30.181484)",-97.839139,30.181484,False,True,True,False,False,False,Structure Fire (confined),0426250153,576093.0,100.0,100.0,"9701 WEST GATE BLVD, TX 78745",TOWNHOMES                ,17650.0,2022.0,0.0,SF-6,SF,5.0,875251.0,875251.0,2.0093,0.2033604,Single Family Residential,Residential,48453031700.0,453.0,317.0,2514694.0,4729.0,2168.0,1134.0,256.0,41.0,158.0,38.0,145.0,112.0,284.0,0.0,0.0,2168.0,0.0,419.0,124.0,670.0,816.0,63.0,9.0,5.0,0.0,62.0,TOWNHOMES
22064500,2022,May,05/14/2022 12:00:00 AM,Fire,AUTO - Auto Fire,00-1804,AFD,2F,4,"(-97.691219,30.329778)",-97.691219,30.329778,False,False,False,True,False,False,Vehicle Fire,0229181544,230584.0,100.0,100.0,1303 MC KIE DR 78752,TOWNHOMES,,,28.0,MF-3-NP,MF,4.0,153217.0,153217.0,0.0919,0.009182516,Multifamily Residential (Neighborhood Plan),Residential,48453043300.0,453.0,433.0,1146286.0,4086.0,1426.0,299.0,223.0,418.0,0.0,83.0,264.0,87.0,52.0,0.0,0.0,1426.0,0.0,12.0,346.0,132.0,438.0,240.0,119.0,0.0,108.0,31.0,TOWNHOMES
22081026,2022,Jun,06/15/2022 12:00:00 AM,Fire,TRASH - Trash Fire,00-1401,AFD,3F,9,"(-97.702088,30.294274)",-97.702088,30.294274,False,False,False,False,False,True,Trash/Dumpster Fire,0217161014,751092.0,100.0,100.0,"2221 ZACH SCOTT ST, AUSTIN, TX 78723",TOWNHOMES                ,1900.0,2008.0,1.0,PUD,PUD,9.0,662246.0,662246.0,0.0465,0.9382746,Planned Unit Development,Mixed/Planned,48453000309.0,453.0,3.09,1902076.0,5267.0,2913.0,832.0,408.0,67.0,0.0,88.0,0.0,71.0,1447.0,0.0,0.0,2913.0,0.0,1622.0,1043.0,23.0,10.0,11.0,156.0,38.0,10.0,0.0,TOWNHOMES
22112933,2022,Aug,08/15/2022 12:00:00 AM,Fire,ELEC - Electrical Fire,00-2002,AFD,3F,5,"(-97.812030,30.192910)",-97.81203,30.19291,False,True,True,False,False,False,Structure Fire (confined),0419191002,333278.0,220.0,200.0,7825 1 BEAUREGARD CIR 78745,TOWNHOMES,,1983.0,52.0,LO,LO,5.0,558749.0,558749.0,0.2077,0.009974012,Limited Office,Office,48453030900.0,453.0,309.0,3612891.0,7581.0,3344.0,2723.0,212.0,313.0,18.0,38.0,0.0,0.0,40.0,0.0,0.0,3344.0,19.0,294.0,615.0,192.0,1148.0,1053.0,0.0,23.0,0.0,0.0,TOWNHOMES
22134325,2022,Sep,09/27/2022 12:00:00 AM,Fire,GRASS - Small Grass Fire,00-2201,AFD,3F,3,"(-97.722292,30.223103)",-97.722292,30.223103,False,False,False,False,True,False,Outdoor/Vegetation Fire,0310080212,507792.0,220.0,200.0,4807 1 E OLTORF ST 78741,TOWNHOMES,,2002.0,12.0,SF-6-NP,SF,3.0,429799.0,429799.0,0.1085,0.03636899,Single Family Residential (Neighborhood Plan),Residential,48453002313.0,453.0,23.13,2432026.0,3730.0,2013.0,219.0,47.0,166.0,102.0,371.0,710.0,168.0,216.0,14.0,0.0,2013.0,0.0,86.0,256.0,511.0,684.0,283.0,146.0,25.0,0.0,22.0,TOWNHOMES
22135299,2022,Sep,09/29/2022 12:00:00 AM,Fire,TRASH - Trash Fire,00-2101,AFD,3F,10,"(-97.752221,30.354919)",-97.752221,30.354919,False,False,False,False,False,True,Trash/Dumpster Fire,0139020655,136270.0,220.0,200.0,7122 25 WOOD HOLLOW DR 78731,TOWNHOMES,,,117.0,MF-3,MF,10.0,406643.0,406643.0,0.0563,0.004490886,Multifamily Residential,Residential,48453032300.0,453.0,323.0,936353.0,4160.0,2929.0,79.0,58.0,0.0,138.0,765.0,523.0,344.0,1022.0,0.0,0.0,2929.0,0.0,30.0,89.0,176.0,254.0,2013.0,122.0,181.0,0.0,64.0,TOWNHOMES
22144248,2022,Oct,10/18/2022 12:00:00 AM,Fire,TRASH - Trash Fire,00-2004,AFD,3F,5,"(-97.807129,30.219011)",-97.807129,30.219011,False,False,False,False,False,True,Trash/Dumpster Fire,0412171323,317488.0,220.0,200.0,2605 B W STASSNEY LN 78745,TOWNHOMES,,,40.0,SF-3-NP,SF,5.0,391365.0,391365.0,0.1452,0.00877637,Single Family Residential (Neighborhood Plan),Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOWNHOMES
